trial,color1_target,color1_H,color1_L,color1_H_deltaE,color1_L_deltaE,color2_target,color2_H,color2_L,color2_H_deltaE,color2_L_deltaE,audio_target,audio_H,audio_L,audio_H_count,audio_L_count,audio_talker,audio_target_file,audio_H_file,audio_L_file
1,#5978C3,#005CD2,#3C90D8,29.24,14.19,#C76563,#6F4D12,#D45A5F,39.8,10.28,v,s,eth,2,379,T08,T08_ava.wav,T08_asa.wav,T08_aetha.wav
2,#0099A9,#34EBFF,#00BFD6,30.74,14.39,#887B1D,#133C00,#7C6B0E,38.77,6.42,n,b,z,3,7,T06,T06_ana.wav,T06_aba.wav,T06_aza.wav
3,#8F80C8,#0050AF,#8681B3,31.26,13.25,#288D61,#627D83,#3D7F42,38.42,13.13,z,p,v,1,48,T01,T01_aza.wav,T01_apa.wav,T01_ava.wav
4,#879325,#E3B14A,#7D8E00,31.47,8.25,#009AE8,#00C0FF,#00A1DC,17.62,14.34,t,eth,theta,1,9,T10,T10_ata.wav,T10_aetha.wav,T10_athetaa.wav
5,#0088A7,#006487,#008A9E,28.01,8.22,#B25E48,#BEA069,#A24948,33.72,12.22,b,p,eth,1,74,T08,T08_aba.wav,T08_apa.wav,T08_aetha.wav
6,#706117,#193015,#73791D,38.15,14.83,#458449,#006744,#4DA173,17.74,14.1,n,g,z,2,7,T04,T04_ana.wav,T04_aga.wav,T04_aza.wav
7,#BD3B42,#FF1D38,#B83B4F,36.5,9.02,#3C67CB,#0067DA,#467ED3,25.95,14.7,s,n,sh,1,57,T01,T01_asa.wav,T01_ana.wav,T01_asha.wav
8,#008CC1,#57B1F3,#0084CA,21.39,11.11,#8983E1,#5A82FB,#9581D3,17.83,7.35,zh,sh,g,1,25,T06,T06_azha.wav,T06_asha.wav,T06_aga.wav
9,#895BA0,#C398DD,#A04FA3,23.12,14.28,#A58C44,#89673F,#AB822F,20.44,10.63,n,b,z,3,7,T12,T12_ana.wav,T12_aba.wav,T12_aza.wav
10,#94492B,#A63E5E,#97613A,32.97,12.35,#A17ACB,#997F8A,#8173D6,39.58,13.41,d,theta,eth,3,33,T03,T03_ada.wav,T03_athetaa.wav,T03_aetha.wav
11,#977C24,#C9A248,#99763A,15.94,12.93,#6B56A2,#002F61,#7158BD,30.7,14.35,p,d,k,1,207,T04,T04_apa.wav,T04_ada.wav,T04_aka.wav
12,#7C7A25,#C1CE74,#957C1F,31.1,12.37,#CC4D6A,#EA7E9B,#D23C53,18.18,13.12,d,b,zh,12,39,T04,T04_ada.wav,T04_aba.wav,T04_azha.wav
13,#4D7D20,#003100,#50782A,34.87,7.45,#34A35C,#005D00,#158B44,36.95,8.81,theta,m,s,1,45,T05,T05_athetaa.wav,T05_ama.wav,T05_asa.wav
14,#CE548F,#F135A4,#D86A92,24.64,10.67,#0076B6,#005186,#007EC8,16.11,7.02,p,v,t,1,91,T12,T12_apa.wav,T12_ava.wav,T12_ata.wav
15,#00808E,#006091,#0091A4,28.46,8.39,#5D9240,#158632,#328830,16.38,12.1,m,z,s,1,4,T04,T04_ama.wav,T04_aza.wav,T04_asa.wav
16,#AC811B,#E69C58,#CAA33C,21.61,12.56,#8E538D,#6A589C,#8A416F,16.73,11.53,v,m,d,7,81,T12,T12_ava.wav,T12_ama.wav,T12_ada.wav
17,#C86275,#AA86A2,#E5788E,30.51,9.23,#008F88,#3D8185,#00827A,36.19,12.66,f,sh,p,1,27,T01,T01_afa.wav,T01_asha.wav,T01_apa.wav
18,#CA7041,#ECB473,#C56B25,27.87,11.15,#00785D,#00A39F,#007B6E,22.19,9.34,b,n,v,4,81,T05,T05_aba.wav,T05_ana.wav,T05_ava.wav
19,#8E8C1D,#E7AE42,#938723,29.69,6.24,#9B4266,#81447C,#813153,19.18,8.45,eth,s,z,1,255,T06,T06_aetha.wav,T06_asa.wav,T06_aza.wav
20,#D1465A,#EB662E,#D56769,37.13,14.18,#776A00,#837444,#796B00,26.9,9.17,theta,d,f,4,260,T12,T12_athetaa.wav,T12_ada.wav,T12_afa.wav
21,#B26827,#451400,#CF6627,39.43,14.28,#AD8830,#E3DE72,#9C892C,33.42,8.68,zh,b,z,1,451,T03,T03_azha.wav,T03_aba.wav,T03_aza.wav
22,#00823A,#006F0F,#005E22,36.91,14.41,#CA3C64,#7F0035,#C01250,23.86,10.18,z,s,v,1,48,T04,T04_aza.wav,T04_asa.wav,T04_ava.wav
23,#2C6FCD,#7448BF,#3C69B9,32.36,8.59,#007F3B,#006958,#006B38,33.68,12.53,v,s,z,2,88,T02,T02_ava.wav,T02_asa.wav,T02_aza.wav
24,#8C691F,#A67374,#775B00,39.57,14.18,#A43A5E,#570000,#9D4167,38.82,6.79,v,m,d,7,81,T01,T01_ava.wav,T01_ama.wav,T01_ada.wav
25,#008AC2,#00BDFF,#006EA2,37.7,11.03,#6F8AD3,#806388,#417BC8,28.92,9.59,t,z,k,1,97,T10,T10_ata.wav,T10_aza.wav,T10_aka.wav
